"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"http://id.biodiversity.org.au/node/apni/2893195","Banksia pilostylis","C.A.Gardner","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Banksia",,"",""
"http://id.biodiversity.org.au/node/apni/2896967","Dodonaea ptarmicifolia","Turcz.","species","Plantae","Charophyta","Equisetopsida","Sapindales","Sapindaceae","Dodonaea",,"",""
"http://id.biodiversity.org.au/node/apni/2900341","Petalostylis labicheoides","R.Br.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Petalostylis",,"Queensland : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2902335","Billardiera coriacea","Benth.","species","Plantae","Charophyta","Equisetopsida","Apiales","Pittosporaceae","Billardiera",,"",""
"http://id.biodiversity.org.au/node/apni/2903335","Drosera pulchella","Lehm.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Droseraceae","Drosera",,"",""
"http://id.biodiversity.org.au/node/apni/2904276","Lasiopetalum compactum","Paust","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Lasiopetalum",,"",""
"http://id.biodiversity.org.au/node/apni/2909740","Dianella brevicaulis","(Ostenf.) G.W.Carr & P.F.Horsfall","species","Plantae","Charophyta","Equisetopsida","Asparagales","Hemerocallidaceae","Dianella","Blueberry Lily","Victoria : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2918109","Goodenia micrantha","Hemsl. ex Carolin","species","Plantae","Charophyta","Equisetopsida","Asterales","Goodeniaceae","Goodenia",,"",""
"http://id.biodiversity.org.au/node/apni/2921207","Tecticornia syncarpa","(Paul G.Wilson) K.A.Sheph. & Paul G.Wilson","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Chenopodiaceae","Tecticornia","Fused Glasswort","Victoria : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/7977799","Solanum sturtianum","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Solanum",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2888197","Petrophile shuttleworthiana","Meisn.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Petrophile",,"",""
"http://id.biodiversity.org.au/node/apni/2889451","Echium plantagineum","L.","species","Plantae","Charophyta","Equisetopsida",,"Boraginaceae","Echium","Paterson's Curse","Queensland : Conservation Status|Northern Territory : Conservation Status","Non-native species|WA State Notifiable Pests|National Weeds Lists|Global Invasive Species Information Network (GISIN)"
"http://id.biodiversity.org.au/node/apni/2891221","Evandra aristata","R.Br.","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Evandra",,"",""
"http://id.biodiversity.org.au/node/apni/2896514","Petrophile fastigiata","R.Br.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Petrophile",,"",""
"http://id.biodiversity.org.au/node/apni/2900602","Lachnostachys coolgardiensis","S.Moore","species","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Lachnostachys",,"",""
"http://id.biodiversity.org.au/node/apni/2902588","Acacia chrysella","Maiden & Blakely","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia",,"",""
"http://id.biodiversity.org.au/node/apni/2904065","Isopogon polycephalus","R.Br.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Isopogon",,"",""
"http://id.biodiversity.org.au/node/apni/2904684","Anthocercis ilicifolia","Hook.","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Anthocercis",,"",""
"http://id.biodiversity.org.au/node/apni/2904795","Chordifex sphacelatus","(R.Br.) B.G.Briggs & L.A.S.Johnson","species","Plantae","Charophyta","Equisetopsida","Poales","Restionaceae","Chordifex",,"",""
"http://id.biodiversity.org.au/node/apni/2905364","Chenopodium gaudichaudianum","(Moq.) Paul G.Wilson","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Chenopodiaceae","Chenopodium",,"",""
"http://id.biodiversity.org.au/node/apni/2905658","Adenanthos argyreus","Diels","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Adenanthos",,"",""
"http://id.biodiversity.org.au/node/apni/2906859","Beaufortia incana","(Benth.) A.S.George","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Beaufortia",,"",""
"http://id.biodiversity.org.au/node/apni/2907421","Acacia steedmanii","Maiden & Blakely","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia",,"",""
"http://id.biodiversity.org.au/node/apni/2908177","Grewia retusifolia","Kurz","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Grewia",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2911888","Stylidium hispidum","Lindl.","species","Plantae","Charophyta","Equisetopsida","Asterales","Stylidiaceae","Stylidium",,"",""
"http://id.biodiversity.org.au/node/apni/2914716","Melaleuca zeteticorum","Craven & Lepschi","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca",,"",""
"http://id.biodiversity.org.au/node/apni/2915896","Sesbania formosa","(F.Muell.) N.T.Burb.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Sesbania",,"Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2916460","Eucalyptus sp. Fraser Range (D.Nicolle 2157)","D.Nicolle","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/8449736","Maireana sedifolia","(F.Muell.) Paul G.Wilson","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Chenopodiaceae","Maireana","Dense Bluebush","Victoria : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2888695","Hemiandra glabra","Benth.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Hemiandra",,"",""
"http://id.biodiversity.org.au/node/apni/2890519","Eucalyptus tephrodes","L.A.S.Johnson & K.D.Hill","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/2894916","Eremophila miniata","C.A.Gardner","species","Plantae","Charophyta","Equisetopsida","Lamiales","Scrophulariaceae","Eremophila","Kopi Poverty Bush","",""
"http://id.biodiversity.org.au/node/apni/2903390","Banksia candolleana","Meisn.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Banksia",,"",""
"http://id.biodiversity.org.au/node/apni/2906966","Triglochin calcitrapa","Hook.","species","Plantae","Charophyta","Equisetopsida","Alismatales","Juncaginaceae","Triglochin",,"Queensland : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2907490","Acacia umbraculiformis","Maslin & Buscumb","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia","Western Umbrella Wattle","",""
"http://id.biodiversity.org.au/node/apni/2887646","Hakea obliqua","R.Br.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Hakea",,"",""
"http://id.biodiversity.org.au/node/apni/2889855","Tetratheca virgata","Steetz","species","Plantae","Charophyta","Equisetopsida","Oxalidales","Elaeocarpaceae","Tetratheca",,"",""
"http://id.biodiversity.org.au/node/apni/2897716","Blennospora phlegmatocarpa","(Diels) P.S.Short","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Blennospora",,"",""
"http://id.biodiversity.org.au/node/apni/2903955","Hakea linearis","R.Br.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Hakea",,"",""
"http://id.biodiversity.org.au/node/apni/2914851","Scholtzia laxiflora","Benth.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Scholtzia",,"",""
"http://id.biodiversity.org.au/node/apni/2916129","Eucalyptus zopherophloia","Brooker & Hopper","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"Western Australia ; Conservation status",""
"http://id.biodiversity.org.au/node/apni/9212569","Eucalyptus armillata","D.Nicolle & M.E.French","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/2887030","Eucalyptus clivicola","Brooker & Hopper","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
