"taxon_url","scientificName_short","recordedBy","taxonRank","kingdom","phylum","class","order","family","genus","vernacularName","Invasive","scientificName"
"http://id.biodiversity.org.au/node/apni/2901847","Xenostegia tridentata","(L.) D.F.Austin & Staples","species","Plantae","Charophyta","Equisetopsida","Solanales","Convolvulaceae","Xenostegia","","","Xenostegia tridentata (L.) D.F.Austin & Staples"
"http://id.biodiversity.org.au/node/apni/2903097","Ptilotus giganteus","(A.Cunn. ex Moq.) R.W.Davis & R.Butcher","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Ptilotus","","","Ptilotus giganteus (A.Cunn. ex Moq.) R.W.Davis & R.Butcher"
"http://id.biodiversity.org.au/node/apni/2910199","Stackhousia scoparia","Benth.","species","Plantae","Charophyta","Equisetopsida","Celastrales","Celastraceae","Stackhousia","","","Stackhousia scoparia Benth."
"http://id.biodiversity.org.au/node/apni/2910946","Banksia borealis","(A.S.George) A.R.Mast & K.R.Thiele","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Banksia","","","Banksia borealis (A.S.George) A.R.Mast & K.R.Thiele"
"http://id.biodiversity.org.au/node/apni/2912888","Eucalyptus flavida","Brooker & Hopper","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","","","Eucalyptus flavida Brooker & Hopper"
"http://id.biodiversity.org.au/node/apni/2913272","Eragrostis potamophila","Lazarides","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Eragrostis","","","Eragrostis potamophila Lazarides"
"http://id.biodiversity.org.au/node/apni/2913380","Portulaca digyna","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Portulacaceae","Portulaca","","","Portulaca digyna F.Muell."
"http://id.biodiversity.org.au/node/apni/2913447","Tetragonia eremaea","Ostenf.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Aizoaceae","Tetragonia","Desert Spinach","","Tetragonia eremaea Ostenf."
"http://id.biodiversity.org.au/node/apni/2913618","Dillwynia acerosa","S.Moore","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Dillwynia","","","Dillwynia acerosa S.Moore"
"http://id.biodiversity.org.au/node/apni/2914545","Prostanthera incurvata","B.J.Conn","species","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Prostanthera","","","Prostanthera incurvata B.J.Conn"
"http://id.biodiversity.org.au/node/apni/2914552","Hensmania turbinata","(Endl.) W.Fitzg.","species","Plantae","Charophyta","Equisetopsida","Asparagales","Hemerocallidaceae","Hensmania","","","Hensmania turbinata (Endl.) W.Fitzg."
"http://id.biodiversity.org.au/node/apni/2921016","Boronia baeckeacea","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Sapindales","Rutaceae","Boronia","","","Boronia baeckeacea F.Muell."
"http://id.biodiversity.org.au/node/apni/7112627","Luffa saccata","F.Muell. ex I.Telford","species","Plantae","Charophyta","Equisetopsida","Cucurbitales","Cucurbitaceae","Luffa","","","Luffa saccata F.Muell. ex I.Telford"
"http://id.biodiversity.org.au/node/apni/7523569","Glinus oppositifolius","(L.) Aug.DC.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Molluginaceae","Glinus","","","Glinus oppositifolius (L.) Aug.DC."
"http://id.biodiversity.org.au/node/apni/7779140","Tripogon loliiformis","(F.Muell.) C.E.Hubb.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Tripogon","","","Tripogon loliiformis (F.Muell.) C.E.Hubb."
"http://id.biodiversity.org.au/node/apni/7809303","Potamogeton drummondii","Benth.","species","Plantae","Charophyta","Equisetopsida","Alismatales","Potamogetonaceae","Potamogeton","","","Potamogeton drummondii Benth."
"http://id.biodiversity.org.au/node/apni/8507720","Dillwynia retorta","(J.C.Wendl.) Druce","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Dillwynia","","","Dillwynia retorta (J.C.Wendl.) Druce"
"http://id.biodiversity.org.au/node/apni/2886293","Boerhavia gardneri","Hewson","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Nyctaginaceae","Boerhavia","","","Boerhavia gardneri Hewson"
"http://id.biodiversity.org.au/node/apni/2886420","Epilobium billardiereanum","Ser.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Onagraceae","Epilobium","","","Epilobium billardiereanum Ser."
"http://id.biodiversity.org.au/node/apni/2886885","Boronia tetrandra","Labill.","species","Plantae","Charophyta","Equisetopsida","Sapindales","Rutaceae","Boronia","","","Boronia tetrandra Labill."
"http://id.biodiversity.org.au/node/apni/2887058","Sclerolaena fimbriolata","(F.Muell.) A.J.Scott","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Chenopodiaceae","Sclerolaena","","","Sclerolaena fimbriolata (F.Muell.) A.J.Scott"
